URL,Initial Status,Final Status,Detected Status,Redirect Chain,Redirect Target,Redirect Count,Response Time (s),Size (Bytes),Response Type,Error,Response Body
http://ultimatecoder.in/,200,200,200 OK,200,,0,0.09,11934,Success (200 OK),None,
http://blog.ultimatecoder.in/,200,200,200 OK,200,,0,0.096,11939,Success (200 OK),None,
http://ultimatecoder.in/admin,200,200,200 OK,200,,0,0.101,11942,Success (200 OK),None,
https://rapsignal.co.in/,200,200,200 OK,200,,0,0.178,11934,Success (200 OK),None,
